7.886064 6.359793
2.321047 8.954139
0.241770 4.484384
8.585893 9.667951
0.733972 4.184429
0.066917 4.989909
5.171782 2.894169
7.783637 1.843630
3.079366 6.398785
1.554935 8.822333
7.565876 7.070832
9.360976 5.455807
8.497180 7.212187
5.398867 5.557717
0.220598 3.450224
1.905661 4.848650
0.937792 2.155560
3.774648 0.053429
0.686874 2.569727
4.630100 2.044686
2.014782 9.196666
1.952346 9.973366
1.598117 1.064985
2.726009 6.897824
9.075066 7.777463
7.286463 1.818542
1.482872 8.625720
3.355591 1.313981
9.791283 6.778667
9.339696 0.113980
0.128699 4.507505
1.241003 6.952584
9.490763 1.718606
6.946763 5.600338
4.204096 1.409201
7.910727 2.396039
4.078636 2.251945
7.132603 2.817208
0.381927 1.908477
1.475566 7.283013
3.347119 4.274362
7.524107 2.346317
5.964628 3.712528
3.568954 1.358731
2.177939 4.827777
3.891618 2.398658
1.899378 0.934100
1.859855 0.567303
4.300871 5.916124
6.463773 2.131674
8.747219 1.955852
9.618461 6.151417
5.528180 7.419133
9.887099 2.484264
7.833137 1.606724
0.780256 2.810086
1.584967 3.777341
0.756998 4.376534
6.231420 6.998147
5.499652 6.015829
7.485846 4.311179
3.395917 3.639397
5.367546 0.972223
1.890600 7.009637
2.430039 1.077312
1.426406 7.169272
1.534832 1.933820
1.032486 2.825616
0.178674 5.956170
5.050920 6.929103
4.260732 5.366587
1.057869 0.128336
1.457157 1.670074
9.543073 7.663100
4.884369 1.541085
1.444001 8.235458
8.053178 6.711402
9.490660 2.735706
9.761306 8.978739
4.564747 0.249200
2.888004 0.862748
0.318775 0.628921
2.677065 1.886314
4.043085 6.482936
3.039745 2.211493
8.930790 3.804919
8.107273 0.143902
1.513863 0.843987
7.104767 8.681647
8.191607 1.194476
9.836938 2.942299
3.787234 5.447065
9.856832 0.523261
7.606423 4.390672
3.808794 1.338170
2.225854 5.189698
3.088985 0.506305
0.907754 5.776031
5.203489 8.485519
3.223847 5.037382
